runName,architecture,optuna_trial,status,dense_layers,dense_units_1,dense_units_2,dropout_rate,optimizer,learning_rate,weight_decay,batch_size,epochs,accuracy,val_accuracy,loss,val_loss,best_val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val,f1_train,f1_val,experiment_id,run_id,augmentation,stage,start_time,end_time
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0007307475065102531, bs:32",ResNet50V2,101.0,pruned,0,,,0.5,Adam,0.0007307475065102,,32,34.0,0.7582417726516724,0.6243902444839478,0.6348435878753662,0.9030837416648864,,,,,,,,,,2,02a5abdfaf584e29886900799e66b5c8,True,hyperparameter_optimization,2026-08-03 03:37:40.197000+00:00,2026-08-03 04:09:10.695000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0008342642086675337, bs:32",ResNet50V2,100.0,completed,0,,,0.5,Adam,0.0008342642086675,,32,35.0,0.7704517841339111,0.6341463327407837,0.5873020887374878,0.8910566568374634,0.886627733707428,0.8247863247863247,0.6341463414634146,0.8308877259727329,0.636586184538,0.8247863247863247,0.6341463414634146,0.8239865280043693,0.6338950444319702,2,ab6f24a2a9274a07bbe1bd849d3b8c1d,True,hyperparameter_optimization,2026-08-03 03:04:11.269000+00:00,2026-08-03 03:37:38.960000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:AdamW, lr:1.0259279253850915e-05, wd:9.503510964385661e-06, bs:16",ResNet50V2,99.0,pruned,0,,,0.5,AdamW,1.0259279253850917e-05,9.50351096438566e-06,16,8.0,0.2185592204332351,0.2121951282024383,2.113119602203369,1.8913925886154173,,,,,,,,,,2,176a0bed75694dfeab298974ee5facc4,True,hyperparameter_optimization,2026-08-03 02:57:55.573000+00:00,2026-08-03 03:04:10.332000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0005224989636838174, bs:32",ResNet50V2,98.0,pruned,0,,,0.5,Adam,0.0005224989636838,,32,8.0,0.668498158454895,0.6000000238418579,0.840603768825531,0.995046615600586,,,,,,,,,,2,f73eb5d40bba4218882a91c57adfd1c6,True,hyperparameter_optimization,2026-08-03 02:50:09.887000+00:00,2026-08-03 02:57:54.477000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0007544137413436329, bs:32",ResNet50V2,96.0,pruned,0,,,0.5,Adam,0.0007544137413436,,32,8.0,0.6971917152404785,0.5902438759803772,0.7444687485694885,0.9929180145263672,,,,,,,,,,2,c6649d8f659a473294232a0864626bdb,True,hyperparameter_optimization,2026-08-03 00:02:55.452000+00:00,2026-08-03 00:10:19.884000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0006434792801157823, bs:32",ResNet50V2,95.0,pruned,0,,,0.5,Adam,0.0006434792801157,,32,8.0,0.6746031641960144,0.6000000238418579,0.7983481287956238,0.9950708150863647,,,,,,,,,,2,7be9b804722b41c49d9a62e11285bd31,True,hyperparameter_optimization,2026-08-02 23:55:19.231000+00:00,2026-08-03 00:02:54.422000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0009975330301675474, bs:32",ResNet50V2,94.0,pruned,0,,,0.5,Adam,0.0009975330301675,,32,8.0,0.6886447072029114,0.6146341562271118,0.7312904596328735,0.967646598815918,,,,,,,,,,2,b255af1761db48748e4ec1f941796663,True,hyperparameter_optimization,2026-08-02 23:47:51.458000+00:00,2026-08-02 23:55:18.193000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.00061075896753325, bs:32",ResNet50V2,93.0,completed,0,,,0.5,Adam,0.0006107589675332,,32,46.0,0.7869352698326111,0.6341463327407837,0.5462213754653931,0.89666748046875,0.8861491084098816,0.8485958485958486,0.6341463414634146,0.8533941497828267,0.6390858168066954,0.8485958485958486,0.6341463414634146,0.8479259294461544,0.6325605403155119,2,15253fa221ba4632915412f5cc87e0b1,True,hyperparameter_optimization,2026-08-02 23:04:06.445000+00:00,2026-08-02 23:47:50.404000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0004960393380459419, bs:32",ResNet50V2,92.0,pruned,0,,,0.5,Adam,0.0004960393380459,,32,8.0,0.6495726704597473,0.6146341562271118,0.8297761082649231,0.965652346611023,,,,,,,,,,2,1cd140ecb53b42ec8eb701f6c52f06b3,True,hyperparameter_optimization,2026-08-02 22:56:33.338000+00:00,2026-08-02 23:04:05.432000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0008991603914869527, bs:32",ResNet50V2,91.0,pruned,0,,,0.5,Adam,0.0008991603914869,,32,8.0,0.7136752009391785,0.6048780679702759,0.7183017134666443,0.9504615664482116,,,,,,,,,,2,3a145033046748aa9791f2f41e13ae9b,True,hyperparameter_optimization,2026-08-02 22:48:56.133000+00:00,2026-08-02 22:56:32.334000+00:00
"ResNet50V2 | dl:0, dr:0.5, opt:Adam, lr:0.0008500799891725079, bs:32",ResNet50V2,90.0,pruned,0,,,0.5,Adam,0.0008500799891725,,32,8.0,0.6776556968688965,0.6000000238418579,0.7794026136398315,0.9749090671539308,,,,,,,,,,2,1bef1736261742bb92e64ccc1716a1a6,True,hyperparameter_optimization,2026-08-02 22:41:26.473000+00:00,2026-08-02 22:48:55.225000+00:00
